DELTA ONLYONE NORMtt1 NORMtt2 NORMtt1t2 testdivisor testSUM
0.11136744128512664 1.0 0.9931792222811126 0.12821923388074016 0.019455417459119828 1.0009552127363617 1.0
0.12906693753544873 1.0 0.9726047333911196 0.17413651798047833 0.14402184992009986 0.9881376602346079 0.9999999999999999
0.1685136017396009 1.0 0.9877404409223774 0.1981071195071024 0.12063489164743321 1.0061877219477104 0.9999999999999998
0.31796500498065855 1.0 0.9207337009877913 0.38202065038731287 0.04155478044051138 0.9951392149877178 1.0
0.4574946296250139 1.0 0.842220093217709 0.5967836437251667 0.45053470532367956 1.0291913563313515 1.0
0.6976624618896362 1.0 0.7179467124196786 0.6960905044008289 9.05575892627507e-05 0.9994942084630758 1.0
0.5026917115701608 1.0 0.6920219509584826 0.8028519091589783 0.6687020191036738 1.0619751003245588 1.0
0.18159624265815175 1.0 0.95499957994929 0.2775423427373562 0.06983789859383646 0.9920791677994553 1.0
0.033188447018348784 1.0 0.996110472079283 0.06102875347133208 0.019483955475392375 0.9978817887126027 1.0
0.08687995258406388 1.0 0.9857365942186915 0.19021357599877847 0.030711789681099187 1.002858824452965 0.9999999999999999
0.6982839396118693 1.0 0.7068392961856664 0.7330085459766408 0.32771773395471243 1.02513058594108 1.0000000000000002
0.5044260591155929 1.0 0.7598756963386837 0.5923556230206837 0.4797436688208068 0.970154576337866 1.0
0.33194986780320324 1.0 0.8876681561369368 0.4528596545652491 0.04838291158094058 0.9958506001499305 1.0
0.03767716677367997 1.0 1.0024271157507036 0.060068311135228925 0.058271186875756026 1.004132882218692 1.0
0.5483740856157374 1.0 0.7021108693079102 0.7081905884068784 0.04096416819890253 1.0005614196997976 1.0
0.5192139352399016 1.0 0.8023044424331162 0.6141998686138284 0.17670192459622858 1.0027803125220867 1.0
0.3259230119650944 1.0 0.8737358574894161 0.41308129333302085 0.420108633134058 0.9697683854588298 1.0000000000000002
0.2537537751043439 1.0 0.9245927288194838 0.323319980399934 0.27252254307257334 0.9777424244908542 1.0
0.26107098353989855 1.0 0.9258443666671657 0.3890884443674889 0.046099440532039605 0.9996629694340536 1.0
0.18664938746719453 1.0 0.9570565534745406 0.3060479110056315 0.06135250505950331 1.0051537643843491 1.0
0.6364765876098017 1.0 0.7180892442850556 0.7761192175564017 1.1277914402078182 1.0406230617157928 1.0
0.21438955925957653 1.0 0.9471835740101965 0.30177446478888476 0.0853883166011771 0.9953499421476155 1.0
0.49591306526267576 1.0 0.8360324929748109 0.5521544954562039 0.03242438920852684 0.995406805949776 1.0
